"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"The Legend of Zelda: Four Swords Adventures","Emulated","","","","","","","","X","everyone I was playing with already gave up.","2026-03-05","","","4:21:00","--","","--","","--","","--","","--","","--","--","NGC / PC","Direct Download","50","","2026-03-06 03:57:09","2026-03-30 22:21:29"
"The Legend of Zelda: Link's Awakening","Nintendo Switch","","","","","","","X","","","","2022-05-21","First-Play","17:02:00","17:02:00","","--","","--","","--","","--","","--","--","","Physical","50","","2022-05-21 10:44:17","2023-05-09 23:05:23"
"The Legend of Zelda: Skyward Sword HD","Nintendo Switch","","","","","","","X","","","","2022-11-22","First-Play","34:16:00","34:16:00","","--","","--","","--","","--","","--","--","","Physical","70","","2022-10-11 16:02:16","2022-11-22 12:18:36"
"The Messenger","PC","","","","","","","","X","Save Corrupted","","","","6:31:00","--","","--","","--","","--","","--","","--","--","","Steam","60","","2022-12-09 04:16:44","2023-07-04 04:46:22"
"The Room","PC","","","","","","","X","","","","2023-07-09","First-Play","1:46:00","1:46:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-07-09 11:11:29","2024-06-04 17:23:50"
"The Stanley Parable","PC","","","","","","","X","","","","2021-08-20","Replay","3:52:00","3:52:00","","--","","--","","--","","--","","--","--","","Steam","60","","2021-08-20 14:58:02","2022-10-11 16:25:59"
"The Two of Us","PC","","","","","","","X","","","","2022-01-05","First-Play","--","00:12:00","Co-op","--","","--","","--","","--","","--","--","","Steam","20","","2022-01-04 21:35:46","2025-01-03 19:43:56"
"Thinking with Time Machine","PC","","","","","","","X","","","","2023-05-28","Replay","--","1:16:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-05-28 06:06:11","2023-12-24 18:38:49"
"Thirsty Suitors","PC","","","","","","","X","","","","2023-11-10","First-Play","4:37:00","--","","6:55:00","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2023-11-07 00:55:45","2024-06-25 02:10:12"
"Tick Tock: A Tale for Two","PC","","","","","","","X","","","","2019-12-24","First-Play","3:25:00","3:25:00","Co-op","--","","--","","--","","--","","--","--","","Steam","50","","2021-07-19 20:39:24","2025-01-03 19:45:17"
