"Title","Platform","Playing","Backlog","Replay","On hold","EA","Custom-3","Completed","Retired","Retired Notes","Start Date","Completion Date","Playthrough","Progress","Main Story","Main Story Notes","Main + Extras","Main + Extras Notes","Completionist","Completionist Notes","Speed Any%","Speed Any% Notes","Speed 100%","Speed 100% Notes","Co-Op","Multi-Player","General Notes","Storefront","Review","Review Notes","Added","Updated"
"Fireboy & Watergirl in The Forest Temple","Browser","","","","","","","X","","","","2022-07-01","First-Play","--","1:28:00","Co-op","--","","--","","--","","--","","--","--","","","40","","2022-07-01 14:04:23","2025-01-03 19:44:29"
"FRAMED Collection","PC","","","","","","","X","","","","2022-06-17","First-Play","2:55:00","2:55:00","","--","","--","","--","","--","","--","--","","Steam","50","","2022-06-17 17:33:07","2023-05-09 23:07:35"
"Freeways","PC","","","","","","","X","","","","2022-12-22","First-Play","6:14:00","6:14:00","18739","--","","--","","--","","--","","--","--","","Steam","70","","2022-12-22 00:08:37","2022-12-22 00:08:37"
"Gauntlet Dark Legacy","Emulated","","","","","","","","X","everyone I was playing with already gave up.","2026-03-01","","","2:47:00","--","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2026-03-01 03:10:39","2026-03-04 05:05:39"
"Gekijouban Madoka Magicka: The Battle Pentagram","Emulated","","","","","","","","X","Do not play a visual novel game in a language you do not know.","","","","3:23:00","--","","--","","--","","--","","--","","--","--","PSVİTA / PC","Direct Download","40","","2024-07-02 19:07:31","2024-07-18 15:56:47"
"Genshin Impact","Mobile","","","","","","","X","","","2020-09-28","2022-07-02","First-Play","--","--","","--","","--","at least 3486h - Together with all events from the first release of the game until 60 AR","--","","--","","--","--","Making all the events that are 60 and released","Direct Download","60","","2022-07-02 09:19:40","2025-01-09 21:05:37"
"Ghost of Tsushima","PC","","","","","","","X","","","","2024-06-23","First-Play","--","20:48:00","Finished Main Campaign","--","","--","","--","","--","","--","--","","Steam","60","","2024-06-05 19:07:13","2024-06-23 03:37:12"
"Ghostrunner","PC","","","","","","","X","","","","2021-11-11","First-Play","--","8:33:00","","9:05:00","","--","","--","","--","","--","--","","Steam","60","","2021-11-11 02:01:33","2025-09-22 22:25:25"
"Ghostrunner II","PC","","","","","","","X","","","2024-10-05","2024-10-07","First-Play","--","7:16:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-10-05 06:50:01","2024-11-30 01:40:48"
"GioGio's Bizarre Adventure: Vento Aureo","Emulated","","","","","","","X","","","","2021-11-19","First-Play","--","3:00:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","30","","2021-11-19 05:20:18","2023-10-24 12:28:09"
"Goat Simulator 3","PC","","","","","","","X","","","","2023-12-18","First-Play","--","--","","7:11:00","","--","","--","","--","","--","--","","Xbox Game Pass","60","","2023-12-18 01:22:23","2023-12-18 01:34:43"
"God Hand","Emulated","","","","","","","X","","","2025-08-14","2025-08-26","First-Play","--","14:55:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","60","","2025-08-14 19:27:59","2025-08-26 00:29:07"
"God of War","Emulated","","","","","","","X","","","","2023-10-30","First-Play","--","--","","11:20:00","Difficulty Hero - All Gorgon Eyes, All Phoenix Feathers","--","","--","","--","","--","--","PS2 / PC","Direct Download","40","","2023-10-28 02:44:27","2023-10-30 20:19:19"
"God of War II","Emulated","","","","","","","X","","","2024-10-01","2024-10-07","First-Play","--","11:46:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2024-10-01 19:29:22","2024-10-30 12:25:39"
"God of War III","PlayStation 4","","","","","","","X","","","2024-12-06","2024-12-08","First-Play","--","8:55:00","","--","","--","","--","","--","","--","--","","PlayStation Plus","60","","2024-12-06 18:59:16","2026-02-20 00:25:27"
"God of War: Ascension","Emulated","","","","","","","X","","","2025-05-24","2025-06-06","First-Play","--","8:13:34","","--","","--","","--","","--","","--","--","PS3 / PC","Direct Download","50","","2025-05-24 12:10:33","2025-06-06 16:49:16"
"God of War: Betrayal","Emulated","","","","","","","X","","","2025-06-06","2025-06-07","First-Play","--","1:17:00","","--","","--","","--","","--","","--","--","Java ME / PC","Direct Download","50","","2025-06-06 20:24:26","2025-06-07 11:19:45"
"God of War: Chains of Olympus","Emulated","","","","","","","X","","","2024-11-04","2024-11-09","Replay","--","5:31:00","","--","","--","","--","","--","","--","--","PSP / PC","Direct Download","50","","2024-11-04 20:15:44","2024-11-09 15:17:47"
"God of War: Ghost of Sparta","Emulated","","","","","","","X","","","2025-01-19","2025-01-24","First-Play","--","5:32:00","","--","","--","","--","","--","","--","--","PSP / PC","Direct Download","50","","2025-01-19 17:32:55","2025-01-24 21:29:19"
"Gran Turismo 7","PlayStation 5","X","","","","","","","","","2026-04-01","","","12:38:00","--","","--","","--","","--","","--","","--","--","","PlayStation Store","60","","2026-04-02 00:35:19","2026-04-05 19:10:01"
"Gravethorn","PC","","","","","","","","X","Level design is boring","2026-02-03","","","1:31:00","--","","--","","--","","--","","--","","--","--","","Steam","50","","2026-02-03 18:03:55","2026-02-05 18:28:29"
"GRIS","PC","","","","","","","X","","","","2024-03-12","First-Play","--","3:02:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-03-12 01:50:50","2024-12-15 18:19:37"
"Guardian Heroes","Emulated","","","","","","","X","","","2026-04-04","2026-04-05","First-Play","--","00:41:00","Coop - Easy difficulty - Ending 3","--","","--","","--","","--","","--","--","X360 / PC","Direct Download","50","","2026-04-05 13:09:40","2026-04-05 13:16:47"
"Gunfire Reborn","PC","","","","","","","X","","","2025-05-09","2025-05-11","First-Play","8:40:00","8:40:00","One Run","--","","--","","--","","--","","--","--","","Direct Download","50","","2025-05-11 01:13:37","2025-05-11 01:16:31"
"Gunman Clive HD Collection","Emulated","","","","","","","X","","","2026-02-02","2026-02-02","First-Play","--","4:50:00","","--","","--","","--","","--","","--","--","NS / PC","Direct Download","50","","2026-02-02 11:55:36","2026-02-02 11:58:19"
"Hades","PC","","","","","","","X","","","","2024-05-30","First-Play","--","6:47:00","First completed run (26th attempt)","24:06:00","Hades defeated 10 times (50th attempt)","--","","--","","--","","--","--","","Steam","60","","2024-05-26 21:28:01","2024-06-10 12:40:53"
"Half-Life","PC","","","","","","","X","","","2024-11-17","2024-11-18","Replay","3:17:00","6:24:00","","--","","--","","--","","--","","--","--","","Direct Download","60","","2024-11-17 07:08:30","2024-11-18 10:04:57"
"Half-Life 2","PC","","","","","","","X","","","2025-02-02","2025-02-15","First-Play","--","--","","15:35:00","Base game (9H 20M) + Episode 1 (2H 47M) + Episode 2 (3H 28M)","--","","--","","--","","--","--","","Steam","60","","2025-02-02 19:18:37","2025-02-15 16:25:44"
"Half-Life: Alyx","PC VR","","","","","","","","X","Too boring","2024-04-27","","","7:24:00","--","","--","","--","","--","","--","","--","--","","Steam","50","","2024-04-26 19:15:38","2025-03-13 17:05:52"
"Half-Life: Decay","PC","","","","","","","X","","","2025-11-11","2025-11-12","First-Play","--","5:08:00","Co-op - Fan-made Mod","--","","--","","--","","--","","--","--","Fan-made","Steam","60","","2025-11-11 21:36:27","2025-11-12 00:23:38"
"Halo: The Master Chief Collection","PC","","","","","","","X","","","","2021-08-16","First-Play","--","8:46:00","Only Halo 1","--","","--","","--","","--","","--","--","","Steam","30","","2024-12-02 20:35:17","2024-12-02 20:36:59"
"Hatsune Miku and Future Stars: Project Mirai","Emulated","","","","","","","X","","","2024-11-21","2024-11-23","First-Play","--","1:32:29","","--","","--","","--","","--","","--","--","3DS / Android","Direct Download","50","","2024-11-21 18:07:11","2024-11-23 18:33:04"
"Hellblade: Senua's Sacrifice","PC","","","","","","","X","","","","2023-07-09","First-Play","--","--","","6:18:00","","--","","--","","--","","--","--","","Steam","50","","2023-07-03 14:37:37","2023-08-15 18:31:37"
"Helltaker","PC","","","","","","","X","","","","2020-07-27","First-Play","2:07:00","2:07:00","","--","","--","","--","","--","","--","--","","Steam","50","","2021-07-19 21:06:05","2022-10-11 16:28:39"
"HENTAI CLIMBER","PC","","","","","","","X","","","","2020-03-08","First-Play","--","1:23:00","","--","","--","","--","","--","","--","--","","Steam","10","","2021-07-19 21:07:23","2023-05-09 22:59:30"
"Hitman 3","PC","","","","","","","X","","","","2023-11-05","First-Play","27:49:00","--","","27:49:00","Hitman 1 (11h 4m) LVL 33, Hitman 2 (11h 3m) LVL 62, Hitman 3 (5h 42m) LVL 82","--","","--","","--","","--","--","","Steam","80","","2023-10-31 02:59:22","2023-11-05 22:40:54"
"Hollow Knight","PC","","","","","","","X","","","2025-08-30","2025-09-08","First-Play","--","25:31:15","Ending 3: Dream No More - 80%","--","","--","","--","","--","","--","--","","Steam","70","","2025-08-30 11:06:35","2025-09-08 15:35:23"
"Hotline Miami","PC","","","","","","","X","","","","2023-10-12","First-Play","5:14:00","4:23:00","Original campaign","5:14:00","Original campaign + Biker episode","--","","--","","--","","--","--","","Steam","60","","2023-10-12 10:47:14","2023-10-12 11:11:08"
"IA/VT Colorful","Emulated","","","","","","","X","","","2024-12-12","2024-12-22","First-Play","--","7:34:00","All songs beaten on Normal - 31 LVL","--","","--","","--","","--","","--","--","PS Vita / PC","Direct Download","60","","2024-12-11 23:14:41","2024-12-21 22:06:38"
"Ice Age: Dawn of the Dinosaurs","PC","","","","","","","X","","","","2024-06-08","First-Play","--","3:28:00","","--","","--","","--","","--","","--","--","","Direct Download","50","","2024-06-04 14:04:42","2024-06-08 17:40:16"
"Inuyasha: A Feudal Fairy Tale","Emulated","","","","","","","X","","","2024-10-20","2024-10-20","First-Play","--","00:30:00","Feudal Fairy Tale - Kagome","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","40","","2024-10-20 18:08:18","2024-10-30 12:24:36"
"InuYasha: Feudal Combat","Emulated","","","","","","","X","","","2024-11-01","2024-11-01","First-Play","--","00:23:00","Only Inuyasha Story","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","40","","2024-11-01 18:20:14","2024-11-01 18:48:27"
"Iron Man","PC","","","","","","","X","","","","2024-06-10","First-Play","--","3:00:00","","--","","--","","--","","--","","--","--","","Direct Download","50","","2024-06-09 16:17:18","2024-06-10 14:51:08"
"Is This Seat Taken?","PC","","","","","","","X","","","2025-08-10","2025-08-14","First-Play","--","--","","--","","5:44:00","Full stars","--","","--","","--","--","","Direct Download","50","","2025-08-10 19:17:17","2025-08-14 14:11:47"
"It Takes Two","PC","","","","","","","X","","","","2023-05-10","First-Play","--","--","","12:22:01","Co-op","--","","--","","--","","--","--","","Xbox Game Pass","70","","2022-05-26 21:55:04","2025-03-07 09:43:58"
"John Wick Hex","PC","","","","","","","X","","","","2024-04-03","First-Play","--","8:33:00","","--","","--","","--","","--","","--","--","","Steam","40","","2024-04-01 04:34:50","2024-04-03 13:42:20"
"Journey","PlayStation 4","","","","","","","X","","","","2020-04-19","First-Play","--","2:31:00","","--","","--","","--","","--","","--","--","","PlayStation Store","60","","2021-07-19 21:03:46","2022-05-26 21:19:14"
"Jujutsu Kaisen: Cursed Clash","PC","","","","","","","X","","","2026-03-19","2026-03-25","First-Play","--","4:58:00","","5:35:00","Hidden Inventory/Premature Death + Shibuya Incident","--","","--","","--","","--","--","","Direct Download","50","","2026-03-19 13:56:27","2026-03-25 20:45:54"
"K-On! Houkago Live!!","Emulated","","","","","","","X","","","","2024-04-06","First-Play","--","2:17:00","Unlocked all the songs - 24%","--","","--","","--","","--","","--","--","PSP / PC","Direct Download","60","","2024-04-06 14:08:36","2024-12-11 23:17:49"
"Katana ZERO","PC","","","","","","","X","","","","2023-01-01","First-Play","4:48:00","4:48:00","","--","","--","","--","","--","","--","--","","Steam","80","","2022-12-31 23:00:46","2023-09-14 11:26:28"
"Keeper","PC","","","","","","","","X","visuals are nice but gameplay is boring","2025-10-18","","","00:23:00","--","","--","","--","","--","","--","","--","--","","Direct Download","0","","2025-10-17 22:16:01","2025-10-17 22:17:16"
"Kill la Kill The Game: IF","PC","","","","","","","X","","","","2024-06-28","First-Play","4:22:00","--","","4:22:00","Both stories","--","","--","","--","","--","--","Both Stories","Direct Download","50","","2024-06-25 01:48:23","2024-06-28 19:41:15"
"Kirby and the Forgotten Land","Emulated","","","","","","","X","","","2025-09-15","2025-10-17","First-Play","--","12:26:00","64% Completed.","--","","--","","--","","--","","--","--","NS / PC","Direct Download","50","","2025-09-15 19:04:42","2025-10-17 02:12:41"
"Kirby Super Star","Emulated","","","","","","","X","","","2024-09-05","2024-09-15","First-Play","--","--","","3:50:00","All Campaigns completed","--","","--","","--","","--","--","SNES / PC","Direct Download","60","","2024-09-14 22:54:31","2024-10-30 12:30:17"
"Kirby's Adventure","Emulated","","","","","","","X","","","","2023-11-29","First-Play","--","2:55:00","76% completion, Beat final boss","--","","--","","--","","--","","--","--","NES / PC","Direct Download","60","","2023-11-27 21:57:27","2023-11-29 21:14:24"
"Kirby's Blowout Blast","Emulated","","","","","","","X","","","2024-11-20","2024-11-21","First-Play","--","00:59:14","","--","","--","","--","","--","","--","--","3DS / Android","Direct Download","50","","2024-11-20 15:26:30","2024-11-21 14:52:50"
"Kirby's Dream Land","Emulated","","","","","","","X","","","","2023-05-07","First-Play","--","00:56:00","","--","","--","","--","","--","","--","--","GB / PC","Direct Download","50","","2023-05-07 04:01:12","2024-11-04 17:26:13"
"Kirby's Dream Land 2","Emulated","","","","","","","X","","","","2024-05-01","First-Play","--","3:03:00","","--","","--","","--","","--","","--","--","GB / PC","Direct Download","50","","2024-04-30 12:06:34","2024-11-04 17:24:47"
"Knack","PlayStation 5","","","","","","","X","","","2026-02-23","2026-03-19","First-Play","--","12:03:00","","--","","--","","--","","--","","--","--","","PlayStation Plus","50","","2026-02-23 05:51:35","2026-03-19 03:29:16"
"KOEGASURU","PC","","","","","","","X","","","2025-06-09","2025-06-09","First-Play","--","00:23:00","","--","","--","","--","","--","","--","--","","Steam","30","","2025-06-09 16:58:30","2025-06-09 16:58:51"
"Kunitsu-Gami: Path of the Goddess","PC","","","","","","","X","","","2024-09-01","2024-09-16","First-Play","--","--","","11:42:34","All villages repaired","--","","--","","--","","--","--","","Xbox Game Pass","60","","2024-09-01 12:43:51","2024-10-30 12:30:04"
"Learn to Fly","Browser","","","","","","","X","","","","2023-12-13","First-Play","--","--","","--","","00:36:00","27 Day","--","","--","","--","--","","","50","","2023-12-13 16:19:25","2024-06-20 18:17:02"
"Learn to Fly 2","Browser","","","","","","","X","","","2024-11-14","2024-11-14","First-Play","--","00:34:00","","--","","--","","--","","--","","--","--","","","60","","2024-11-14 03:32:07","2024-11-14 03:32:37"
"Learn to Fly 3","PC","","","","","","","X","","","2026-03-12","2026-03-12","First-Play","--","00:54:00","59 Day","--","","--","","--","","--","","--","--","","Steam","50","","2026-03-12 11:17:01","2026-03-12 11:18:01"
"Left 4 Dead","PC","","","","","","","X","","","2025-12-09","2025-12-10","First-Play","--","4:03:00","2 Player","--","","--","","--","","--","","--","--","","Steam","60","","2023-05-09 22:39:53","2025-12-10 19:30:54"
"Left 4 Dead - Crash Course","PC","","","","","","","X","","","","2023-01-24","Replay","--","00:23:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-01-24 18:16:00","2024-06-25 02:00:51"
"Left 4 Dead - The Sacrifice","PC","","","","","","","X","","","","2023-01-16","Replay","--","00:27:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-01-16 14:38:56","2024-06-25 02:00:35"
"Left 4 Dead 2","PC","","","","","","","X","","","","2023-01-24","Replay","--","--","","9:46:00","","--","","--","","--","","--","--","","Steam","60","","2023-01-16 14:37:24","2023-07-09 11:20:46"
"Left 4 Dead 2: Cold Stream","PC","","","","","","","X","","","","2023-01-24","Replay","--","00:45:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-01-24 18:17:06","2024-06-25 02:00:40"
"Left 4 Dead 2: The Last Stand","PC","","","","","","","X","","","","2023-01-24","First-Play","--","00:25:00","","--","","--","","--","","--","","--","--","","Steam","40","","2023-01-24 18:15:22","2024-06-25 02:00:45"
"Left 4 Dead 2: The Passing","PC","","","","","","","X","","","","2023-01-12","Replay","--","00:42:00","","--","","--","","--","","--","","--","--","","Steam","50","","2023-01-12 20:37:19","2023-12-15 09:16:45"
"Lies of P","PC","","","","","","","X","","","2024-11-01","2024-11-08","First-Play","--","--","","23:17:05","All Bosses - First playthrough - Ending : Free from the Puppet String","--","","--","","--","","--","--","All Bosses + All Mini Bosses - First playthrough Level 80 Vit: 17 Vigor: 20 Cap: 30 Mot: 5 Tec: 41 Adv: 6 Ending : Free from the Puppet String","Xbox Game Pass","70","","2024-11-01 10:11:47","2024-11-08 15:37:03"
"Lollipop Chainsaw","Emulated","","","","","","","X","","","2024-09-21","2024-09-24","First-Play","--","--","","5:33:00","Good Ending","--","","--","","--","","--","--","PS3 / PC","Direct Download","60","","2024-09-21 15:00:05","2024-10-30 12:28:29"
"Lost Soul Aside","PC","","","","","","","X","","","2025-08-30","2025-09-12","First-Play","--","18:02:00","","--","","--","","--","","--","","--","--","","Direct Download","60","","2025-08-30 07:13:51","2025-09-12 19:33:22"
"Luigi's Mansion","Emulated","","","","","","","X","","","","2024-08-10","First-Play","--","--","","7:27:00","49/50 Boos","--","","--","","--","","--","--","NGC / PC","Direct Download","60","","2024-07-31 21:56:38","2024-08-10 13:36:18"
"Machinika Museum","PC","","","","","","","X","","","","2024-06-04","First-Play","--","2:30:00","","--","","--","","--","","--","","--","--","","Steam","50","","2024-06-04 17:21:58","2024-06-04 17:22:27"
"Mario vs. Donkey Kong","Emulated","","","","","","","X","","","","2024-02-20","First-Play","--","5:34:00","Classic Style - 8 Worlds - All Perfect","--","","--","","--","","--","","--","--","NS / PC","Direct Download","50","","2024-02-18 01:54:53","2024-11-04 17:25:05"
"Mario's Picross","Emulated","","","","","","","X","","","","2024-02-15","First-Play","--","3:36:00","Easy Levels Only","--","","--","","--","","--","","--","--","GB / PC","Direct Download","70","","2024-02-14 22:33:05","2024-11-04 17:25:10"
"Marvel Super Heroes vs. Street Fighter","Emulated","","","","","","","X","","","2025-09-30","2025-09-30","First-Play","--","00:25:00","Beat with Spider-man and Sakura","--","","--","","--","","--","","--","--","Capcom Play System 2 / PC","Direct Download","50","","2025-09-30 01:16:41","2025-09-30 01:18:09"
"Marvel's Avengers","PC","","","","","","","X","","","","2020-09-04","First-Play","13:12:00","13:12:00","","--","","--","","--","","--","","--","--","","Steam","50","","2021-07-19 21:09:27","2025-01-03 19:47:05"
"Marvel's Spider-Man 2","PC","","","","","","","X","","","2025-02-25","2025-03-16","First-Play","--","--","","--","","28:11:00","","--","","--","","--","--","","Direct Download","70","","2025-02-25 17:18:31","2025-03-16 16:45:48"
"Marvel's Spider-Man: Game of the Year Edition","PC","","","","","","","X","","","","2022-10-18","First-Play","32:36:00","--","","--","","32:36:01","","--","","--","","--","--","","Steam","70","","2022-10-11 15:52:59","2024-11-07 22:36:38"
"Marvel's Spider-Man: Miles Morales","PC","","","","","","","X","","","2024-10-07","2024-10-13","First-Play","12:41:00","--","","--","","15:03:00","100% (No NG+)","--","","--","","--","--","","Direct Download","60","","2024-10-07 09:22:19","2024-10-30 12:25:23"
"Max Payne","PC","","","","","","","X","","","","2023-07-31","First-Play","6:42:00","8:12:00","","--","","--","","--","","--","","--","--","","Steam","60","","2023-07-19 22:27:23","2023-07-31 15:22:46"
"Max Payne 2: The Fall of Max Payne","PC","","","","","","","X","","","","2023-09-14","First-Play","--","4:56:00","","--","","--","","--","","--","","--","--","","Steam","70","","2023-08-09 00:09:12","2023-09-14 05:44:11"
"Max Payne 3","PC","","","","","","","X","","","2024-11-08","2024-11-12","First-Play","--","8:14:00","","--","","--","","--","","--","","--","--","","Steam","60","","2024-11-08 17:41:27","2024-11-11 21:54:59"
"Mega Man","Emulated","","","","","","","X","","","","2023-12-04","First-Play","--","1:17:00","","--","","--","","--","","--","","--","--","NES / PC","Direct Download","50","","2023-12-04 12:18:16","2023-12-04 12:19:20"
"Metal Gear Rising: Revengeance","PC","","","","","","","X","","","2025-06-07","2025-06-13","First-Play","--","7:26:00","Playtime in game: 3:56:28 - Normal","10:25:00","Playtime in game: 5:40:28 - Normal - DLC","--","","--","","--","","--","--","","Steam","70","","2025-06-07 18:06:33","2025-07-16 12:37:25"
"Metal Gear Solid","Emulated","","","","","","","X","","","","2023-09-11","First-Play","--","9:03:00","Otacon Ending","--","","--","","--","","--","","--","--","PS1 / PC","Direct Download","60","","2023-09-11 01:52:43","2023-10-24 12:30:28"
"Metal Gear Solid 2: Substance","Emulated","","","","","","","X","","","","2024-05-15","First-Play","--","13:19:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","70","","2024-05-01 21:40:34","2024-05-15 12:29:29"
"Metal Gear Solid 3: Subsistence","Emulated","","","","","","","X","","","","2024-07-17","First-Play","--","15:25:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","70","","2024-07-03 18:42:12","2024-07-17 12:39:10"
"Metal Gear Solid 4: Guns of the Patriots","Emulated","","","","","","","X","","","2025-02-16","2025-03-10","First-Play","--","18:41:00","Playtime in game: 14:54:22 - Rank: Eagle - Yes, the game crashed a lot.","--","","--","","--","","--","","--","--","PS3 / PC","Direct Download","80","","2025-02-16 16:34:47","2025-03-24 05:49:02"
"Metal Gear Solid V: Ground Zeroes","PC","","","","","","","X","","","2025-06-13","2025-06-14","First-Play","--","1:49:00","Completion Date: 13.06.2025","6:15:00","Completed All Missions","--","","--","","--","","--","--","","Steam","70","","2025-06-13 19:42:35","2025-06-14 19:20:21"
"Metal Gear Solid V: The Phantom Pain","PC","","","","","","","X","","","2025-06-15","2025-07-30","First-Play","--","--","","82:47:00","Overall Completion 74% -Main Ops 50/50 - Extra Ops 157/157","--","","--","","--","","--","--","","Steam","60","","2025-06-15 14:42:05","2025-07-30 19:53:32"
"Metal Gear Solid Δ: Snake Eater","PC","","","","","","","X","","","2025-08-27","2025-08-28","First-Play","--","5:54:00","Rank: Panther","--","","--","","--","","--","","--","--","","Steam","70","","2025-08-27 08:10:53","2025-08-27 23:07:59"
"Metal Gear Solid: Peace Walker","Emulated","","","","","","","X","","","2025-03-22","2025-04-24","First-Play","--","24:35:00","Credits Completion Time: 16:56:00 Completion Date: 13.04.2025 - Real Ending Completion Date: 16.04.2025","47:37:00","Main Ops 33/33 - Extra Ops 128/128 - Outer Ops 72/72","--","","--","","--","","--","--","PSP / PC","Direct Download","80","","2025-03-22 05:16:34","2025-04-24 09:16:36"
"Metal Slug","PC","","","","","","","X","","","","2024-05-04","Replay","--","00:42:00","Autofire: ON Contınue: 25","--","","--","","--","","--","","--","--","","Steam","50","","2024-05-04 19:20:11","2024-06-25 02:10:41"
"Metal Slug 2","PC","","","","","","","X","","","","2024-05-05","Replay","--","00:48:00","Autofire: ON Contınue: 27","--","","--","","--","","--","","--","--","","Steam","60","","2024-05-05 20:49:39","2024-05-06 17:29:34"
"Metal Slug 3","PC","","","","","","","X","","","","2024-05-06","Replay","--","1:03:00","Autofire: ON Contınue: 41","--","","--","","--","","--","","--","--","","Steam","50","","2024-05-06 17:28:14","2024-06-25 02:10:34"
"Metal Slug 4","Emulated","","","","","","","X","","","","2024-05-08","First-Play","--","00:55:00","Autofire: ON Contınue: 37","--","","--","","--","","--","","--","--","Neo Geo MVS / PC","Direct Download","50","","2024-05-07 23:35:15","2024-11-04 17:30:55"
"Metal Slug 5","Emulated","","","","","","","X","","","","2024-05-09","First-Play","--","00:39:00","Autofire: ON Contınue: 26","--","","--","","--","","--","","--","--","Neo Geo AES / PC","Direct Download","50","","2024-05-08 23:00:40","2024-11-04 17:30:59"
"Metal Slug 6","Emulated","","","","","","","X","","","","2024-05-10","First-Play","--","00:59:00","Autofire: ON Contınue: 42","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","40","","2024-05-09 22:18:24","2024-05-09 23:25:02"
"Metal Slug XX","PC","","","","","","","X","","","","2024-05-11","First-Play","--","00:58:00","Autofire: ON Contınue: 54","--","","--","","--","","--","","--","--","","Steam","50","","2024-05-10 23:24:23","2024-06-25 02:10:19"
"Metroid Dread","Nintendo Switch","","","","","","","X","","","","2022-08-28","First-Play","--","--","","7:38:30","","--","","--","","--","","--","--","","Physical","50","","2022-08-13 04:44:22","2023-07-09 11:21:22"
"Metroid: Zero Mission","Emulated","","","","","","","X","","","","2024-02-15","First-Play","--","--","","8:02:00","Object completion : 58%","--","","--","","--","","--","--","GBA / PC","Direct Download","60","","2024-02-12 14:53:59","2024-02-15 16:34:40"
"Midnight Club: Street Racing","Emulated","","","","","","","X","","","2025-10-04","2025-10-17","First-Play","--","6:42:00","","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2025-10-03 22:03:49","2025-10-17 06:44:03"
"Minecraft","PC","","","X","","","","X","","","0000-02-03","2026-02-09","Replay","--","--","","38:31:00","1.21.11 - Co-Op - Hard","--","","--","","--","","--","--","1.21.11","Microsoft Store","0","","2026-02-08 22:26:00","2026-02-08 22:30:33"
"Minecraft","PC","","","","","","","X","","","","2023-06-15","Replay","--","6:18:00","1.20.1 - Co-op - Normal","--","","--","","--","","--","","--","--","1.20.1","Microsoft Store","80","","2023-06-14 21:11:52","2026-02-08 22:29:48"
"MiSide","PC","","","","","","","X","","","2025-02-02","2025-02-02","First-Play","--","--","","3:54:00","All 3 endings","--","","--","","--","","--","--","","Direct Download","60","","2025-02-02 00:24:29","2025-02-02 23:49:43"
"Monster Hunter 4 Ultimate","Emulated","X","","","","","","","","","2026-01-02","","","42:31:00","--","","--","","--","","--","","--","","--","--","3DS / PC","Direct Download","60","","2026-01-04 23:32:50","2026-02-12 11:04:52"
"Monster Hunter Rise","PC","","","","","","","X","","","","2022-01-28","First-Play","--","30:24:34","","--","","--","","--","","--","","--","--","","Steam","90","","2022-01-28 20:04:10","2025-01-03 19:41:20"
"Monster Hunter: Wilds","PC","","","","","","","X","","","2025-02-28","2025-03-10","First-Play","--","12:01:00","Credits - Completion Date: 03.03.2025","33:56:00","Completed Chapter 6","--","","--","","--","","--","--","","Steam","70","","2025-02-28 08:37:59","2025-04-12 23:11:52"
"Mortal Kombat: Shaolin Monks","Emulated","","","","","","","X","","","2025-12-01","2026-02-27","First-Play","--","12:51:00","Co-op","--","","--","","--","","--","","--","--","PS2 / PC","Direct Download","50","","2026-01-01 11:47:23","2026-02-27 00:30:16"
"Mullet Madjack","PC","","","","","","","X","","","2025-03-13","2025-03-14","First-Play","--","2:30:00","Beaten on the 'recommended' difficulty","--","","--","","--","","--","","--","--","","Xbox Game Pass","50","","2025-03-13 22:34:38","2025-03-13 22:40:54"
"Muse Dash","PC","","","","","","","X","","","","2019-11-12","First-Play","29:01:00","20:48:00","","29:01:00","","--","","--","","--","","--","--","","Steam","60","","2021-07-19 20:38:26","2024-12-11 23:17:52"
"New Super Mario Bros. U Deluxe","Nintendo Switch","","","","","","","X","","","","2023-07-24","First-Play","30:00:00","30:00:00","Mario U Only, All Star Coins, All Optional Levels (including Superstar Road)","--","","--","","--","","--","","--","--","","Physical","70","","2022-05-26 21:51:10","2023-07-24 03:14:07"
"New Super Mario Bros. Wii","Emulated","","","","","","","X","","","2025-12-17","2025-12-23","First-Play","--","6:26:00","Co-op - We took multiple shortcuts.","--","","--","","--","","--","","--","--","Wii / PC","Direct Download","50","","2025-12-17 18:22:02","2026-02-13 12:40:28"
"Nientum - Op.ZERO","PC","","","","","X","","X","","","2025-11-24","2025-11-26","First-Play","--","2:10:00","Early access - ACT 5 - 11.26.2025","--","","--","","--","","--","","--","--","","Steam","60","","2025-11-24 19:17:42","2025-11-26 06:31:42"
